Building Name,City,Height (m),Height (ft),Floors,Completed,Material,Use,source: skyscraper center
Chase Tower,Indianapolis,213.7,701,49,1990,steel,office,
Jersey City Urby,Jersey City,213.5,700,70,2016,concrete,residential,
Metropolitan Life Tower,New York City,213.4,700,50,1909,steel,office,
City National Tower,Los Angeles,213.1,699,52,1971,steel,office,
Paul Hastings Tower,Los Angeles,213.1,699,52,1971,steel,office,
Paramount Miami Worldcenter,Miami,213.1,699,55,2018,concrete,residential,
Wells Fargo Center,Denver,212.8,698,50,1983,composite,office,
500 Fifth Avenue,New York City,212.4,697,59,1931,steel,office,
Georgia Pacific Tower,Atlanta,212.4,697,51,1981,,office,
One Shell Square,New Orleans,212.4,697,51,1972,composite,office,
AMA Plaza,Chicago,211.8,695,52,1972,composite,office,
345 California Center,San Francisco,211.8,695,48,1986,steel,hotel / office,
Americas Tower,New York City,210.9,692,48,1992,steel,office,
Promenade II,Atlanta,210.6,691,40,1989,,office,
1400 Smith Street,Houston,210.5,691,50,1983,steel,office,
Solow Building,New York City,210,689,49,1974,steel,office,
Marine Midland Building,New York City,209.7,688,52,1967,steel,office,
The Independent,Austin,209.7,688,58,2019,concrete,residential,
55 Water Street,New York City,209.4,687,53,1972,steel,office,
277 Park Avenue,New York City,209.4,687,50,1963,steel,office,
The Beekman Hotel & Residences,New York City,209.4,687,47,2017,composite,residential / hotel,
Trammel Crow Center,Dallas,209.1,686,50,1984,,office,
Waldorf Astoria Chicago,Chicago,209,686,60,2009,concrete,residential / hotel,
Three Allen Center,Houston,208.8,685,50,1980,steel,office,
1585 Broadway,New York City,208.8,685,42,1989,,office,
Random House Tower,New York City,208.5,684,52,2003,steel,residential / office,
The Austonian,Austin,208.1,683,56,2010,concrete,residential,
Four Seasons Hotel,New York City,207.9,682,52,1993,concrete,hotel,
111 South Wacker,Chicago,207.6,681,51,2005,composite,office,
Millennium Tower,Boston,207.5,681,54,2016,concrete,residential,
181 West Madison,Chicago,207.3,680,50,1990,composite,office,
Hyatt Center,Chicago,207.1,679,48,2005,composite,office,
Marquis,Miami,207,679,63,2009,concrete,residential / hotel,
LyondellBassell Tower,Houston,206.8,678,47,1978,composite,office,
Oceanwide Plaza Tower I,Los Angeles,206.4,677,49,2019,,residential / hotel / retail,
AT&T Building,Atlanta,206.4,677,47,1980,concrete,office,
Sky,New York City,206,676,61,2015,concrete,residential,
McGraw-Hill Building,New York City,205.4,674,51,1972,steel,office,
Resorts World Las Vegas Tower I,Las Vegas,205.4,674,57,2019,concrete,hotel / casino,
One Magnificent Mile,Chicago,205.1,673,57,1983,concrete,residential / office,
One Grand Central Place,New York City,205.1,673,53,1930,steel,office,
Citigroup Building,New York City,205.1,673,50,1990,steel,office,
Barclay Tower,New York City,205.1,673,56,2007,concrete,residential,
340 on the Park,Chicago,204.9,672,64,2007,concrete,residential,
Paramount Plaza,New York City,204.2,670,48,1970,steel,office,
One Seaport,New York City,204.2,670,60,2018,,residential,
77 West Wacker Drive,Chicago,203.6,668,49,1992,composite,office,
33 South 6th Street,Minneapolis,203.6,668,52,1983,concrete,office,
BOK Tower,Tulsa,203.3,667,52,1975,steel,office,
45 Park Place,New York City,203.3,667,43,2018,concrete,residential,
Ritz-Carlton/Marriott Marquis Los Angeles,Los Angeles,203.3,667,54,2010,steel,residential / hotel,
Sovereign,Atlanta,202.7,665,48,2008,concrete,residential / office,
Great American Tower at Queen City Square,Cincinnati,202.7,665,40,2011,composite,office,
Trump Tower,New York City,202.4,664,58,1982,concrete,residential / office,
First City Tower,Houston,201.8,662,47,1984,,office,
The Mark,Seattle,201.2,660,43,2017,composite,office / hotel,
Hearst Tower,Charlotte,200.8,659,47,2002,steel/concrete,office,
200 Public Square,Cleveland,200.6,658,46,1985,steel,office,
1180 Peachtree,Atlanta,200.2,657,41,2006,concrete,office,
