,TOTAL,WHITE,BLACK,AK_NH,ASIAN_NH,PI_NH,OTHER_NH,MIX_NH,HISP_ALL,WHITE_H,BLACK_H,AK_H,ASIAN_H,PI_H,OTHER_H,MIX_H,NAME,county,state,tract,county_map,AK,API,OTHER_MIX,HISP,AK_PER,API_PER,BLACK_PER,HISP_PER,OTHER_MIX_PER,WHITE_PER,MAX_ETH_PER,MAX_ETH,Above 70,Above 80,Above 90
73,2102.0,943.0,524.0,0.0,463.0,7.0,4.0,83.0,78.0,62.0,15.0,0.0,0.0,0.0,0.0,1.0,"Census Tract 77, Philadelphia County, Pennsylvania",101,42,007700,"Philadelphia County, Pennsylvania",0.0,470.0,87.0,78.0,0.0,0.22359657469077068,0.24928639391056137,0.037107516650808754,0.04138915318744053,0.4486203615604186,0.4486203615604186,WHITE_PER,0,0,0
74,4276.0,2414.0,1128.0,0.0,194.0,0.0,37.0,290.0,213.0,172.0,0.0,28.0,0.0,0.0,0.0,13.0,"Census Tract 78, Philadelphia County, Pennsylvania",101,42,007800,"Philadelphia County, Pennsylvania",28.0,194.0,327.0,185.0,0.006548175865294668,0.045369504209541625,0.2637979420018709,0.04326473339569691,0.0764733395696913,0.5645463049579046,0.5645463049579046,WHITE_PER,0,0,0
75,4443.0,2441.0,1077.0,0.0,202.0,0.0,0.0,449.0,274.0,208.0,64.0,0.0,0.0,0.0,2.0,0.0,"Census Tract 79, Philadelphia County, Pennsylvania",101,42,007900,"Philadelphia County, Pennsylvania",0.0,202.0,449.0,274.0,0.0,0.04546477605221697,0.24240378122889938,0.061670042763898265,0.10105784379923476,0.5494035561557506,0.5494035561557506,WHITE_PER,0,0,0
76,3889.0,667.0,2603.0,4.0,165.0,0.0,9.0,269.0,172.0,67.0,22.0,73.0,0.0,0.0,0.0,10.0,"Census Tract 80, Philadelphia County, Pennsylvania",101,42,008000,"Philadelphia County, Pennsylvania",77.0,165.0,278.0,99.0,0.01979943430187709,0.04242735921830805,0.6693237336076112,0.02545641553098483,0.07148367189508871,0.17150938544613012,0.6693237336076112,BLACK_PER,0,0,0
77,2343.0,0.0,2179.0,0.0,0.0,0.0,9.0,137.0,18.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 81.01, Philadelphia County, Pennsylvania",101,42,008101,"Philadelphia County, Pennsylvania",0.0,0.0,146.0,18.0,0.0,0.0,0.9300042680324371,0.0076824583866837385,0.062313273580879215,0.0,0.9300042680324371,BLACK_PER,1,1,1
78,5497.0,50.0,5316.0,19.0,0.0,0.0,0.0,39.0,73.0,0.0,50.0,15.0,0.0,0.0,8.0,0.0,"Census Tract 81.02, Philadelphia County, Pennsylvania",101,42,008102,"Philadelphia County, Pennsylvania",34.0,0.0,39.0,58.0,0.0061851919228670185,0.0,0.967072948881208,0.01055120975077315,0.0070947789703474625,0.00909587047480444,0.967072948881208,BLACK_PER,1,1,1
79,6413.0,48.0,6147.0,0.0,68.0,0.0,0.0,134.0,16.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,"Census Tract 82, Philadelphia County, Pennsylvania",101,42,008200,"Philadelphia County, Pennsylvania",0.0,68.0,134.0,16.0,0.0,0.010603461718384532,0.9585217526898487,0.0024949321690316546,0.020895056915640108,0.007484796507094963,0.9585217526898487,BLACK_PER,1,1,1
80,4809.0,105.0,4419.0,0.0,66.0,0.0,0.0,82.0,137.0,8.0,36.0,0.0,0.0,0.0,93.0,0.0,"Census Tract 83.01, Philadelphia County, Pennsylvania",101,42,008301,"Philadelphia County, Pennsylvania",0.0,66.0,82.0,137.0,0.0,0.01372426699937617,0.9189020586400499,0.028488251195674778,0.017051362029527967,0.021834061135371178,0.9189020586400499,BLACK_PER,1,1,1
81,4334.0,10.0,3846.0,0.0,160.0,0.0,10.0,84.0,224.0,79.0,145.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 83.02, Philadelphia County, Pennsylvania",101,42,008302,"Philadelphia County, Pennsylvania",0.0,160.0,94.0,224.0,0.0,0.03691739732348869,0.8874019381633594,0.05168435625288417,0.02168897092754961,0.0023073373327180432,0.8874019381633594,BLACK_PER,1,1,0
82,4803.0,140.0,4255.0,9.0,7.0,0.0,40.0,242.0,110.0,20.0,90.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 84, Philadelphia County, Pennsylvania",101,42,008400,"Philadelphia County, Pennsylvania",9.0,7.0,282.0,110.0,0.0018738288569643974,0.0014574224443056423,0.8859046429315012,0.02290235269623152,0.05871330418488445,0.029148448886112847,0.8859046429315012,BLACK_PER,1,1,0
83,7415.0,446.0,6526.0,22.0,169.0,0.0,0.0,15.0,237.0,17.0,220.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 85, Philadelphia County, Pennsylvania",101,42,008500,"Philadelphia County, Pennsylvania",22.0,169.0,15.0,237.0,0.0029669588671611597,0.02279163857046527,0.8801078894133513,0.03196223870532704,0.0020229265003371545,0.060148347943358056,0.8801078894133513,BLACK_PER,1,1,0
84,2860.0,1434.0,716.0,5.0,401.0,0.0,0.0,131.0,173.0,101.0,33.0,8.0,0.0,0.0,21.0,10.0,"Census Tract 86.01, Philadelphia County, Pennsylvania",101,42,008601,"Philadelphia County, Pennsylvania",13.0,401.0,131.0,165.0,0.004545454545454545,0.1402097902097902,0.25034965034965034,0.057692307692307696,0.045804195804195806,0.5013986013986014,0.5013986013986014,WHITE_PER,0,0,0
85,2241.0,484.0,1593.0,0.0,66.0,0.0,0.0,42.0,56.0,0.0,35.0,8.0,0.0,0.0,13.0,0.0,"Census Tract 86.02, Philadelphia County, Pennsylvania",101,42,008602,"Philadelphia County, Pennsylvania",8.0,66.0,42.0,48.0,0.0035698348951361,0.029451137884872823,0.7108433734939759,0.0214190093708166,0.018741633199464525,0.21597501115573406,0.7108433734939759,BLACK_PER,1,0,0
86,4841.0,2292.0,706.0,0.0,919.0,0.0,0.0,475.0,449.0,288.0,0.0,0.0,12.0,0.0,124.0,25.0,"Census Tract 87.01, Philadelphia County, Pennsylvania",101,42,008701,"Philadelphia County, Pennsylvania",0.0,931.0,475.0,437.0,0.0,0.1923156372650279,0.1458376368518901,0.09027060524684982,0.09812022309440198,0.4734558975418302,0.4734558975418302,WHITE_PER,0,0,0
87,2628.0,1141.0,254.0,5.0,821.0,0.0,0.0,203.0,204.0,145.0,29.0,0.0,0.0,0.0,29.0,1.0,"Census Tract 87.02, Philadelphia County, Pennsylvania",101,42,008702,"Philadelphia County, Pennsylvania",5.0,821.0,203.0,204.0,0.001902587519025875,0.3124048706240487,0.09665144596651445,0.0776255707762557,0.07724505327245053,0.4341704718417047,0.4341704718417047,WHITE_PER,0,0,0
88,2272.0,1345.0,255.0,19.0,415.0,29.0,0.0,33.0,176.0,128.0,0.0,0.0,0.0,0.0,41.0,7.0,"Census Tract 88.01, Philadelphia County, Pennsylvania",101,42,008801,"Philadelphia County, Pennsylvania",19.0,444.0,33.0,176.0,0.008362676056338027,0.1954225352112676,0.11223591549295775,0.07746478873239436,0.014524647887323943,0.5919894366197183,0.5919894366197183,WHITE_PER,0,0,0
89,6680.0,3720.0,802.0,0.0,1540.0,0.0,58.0,166.0,394.0,241.0,24.0,0.0,7.0,0.0,92.0,30.0,"Census Tract 88.02, Philadelphia County, Pennsylvania",101,42,008802,"Philadelphia County, Pennsylvania",0.0,1547.0,224.0,387.0,0.0,0.2315868263473054,0.12005988023952095,0.05793413173652694,0.033532934131736525,0.5568862275449101,0.5568862275449101,WHITE_PER,0,0,0
90,6173.0,3823.0,384.0,0.0,1235.0,0.0,41.0,342.0,348.0,224.0,20.0,10.0,0.0,0.0,59.0,35.0,"Census Tract 90, Philadelphia County, Pennsylvania",101,42,009000,"Philadelphia County, Pennsylvania",10.0,1235.0,383.0,338.0,0.0016199578810950916,0.2000647983152438,0.06220638263405152,0.054754576381014095,0.062044386845942004,0.6193098979426535,0.6193098979426535,WHITE_PER,0,0,0
