,Unnamed: 0,Season,Season URL,Stadium,Stadium_url,Teams,Surface
97,97,1920,https://www.pro-football-reference.com/teams/crd/1920.htm,,,Arizona Cardinals,
98,98,2017,https://www.pro-football-reference.com/teams/atl/2017.htm,,,Atlanta Falcons,
99,99,2016,https://www.pro-football-reference.com/teams/atl/2016.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
100,100,2015,https://www.pro-football-reference.com/teams/atl/2015.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
101,101,2014,https://www.pro-football-reference.com/teams/atl/2014.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
102,102,2013,https://www.pro-football-reference.com/teams/atl/2013.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
103,103,2012,https://www.pro-football-reference.com/teams/atl/2012.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
104,104,2011,https://www.pro-football-reference.com/teams/atl/2011.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
105,105,2010,https://www.pro-football-reference.com/teams/atl/2010.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
106,106,2009,https://www.pro-football-reference.com/teams/atl/2009.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
107,107,2008,https://www.pro-football-reference.com/teams/atl/2008.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
108,108,2007,https://www.pro-football-reference.com/teams/atl/2007.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
109,109,2006,https://www.pro-football-reference.com/teams/atl/2006.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
110,110,2005,https://www.pro-football-reference.com/teams/atl/2005.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
111,111,2004,https://www.pro-football-reference.com/teams/atl/2004.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
112,112,2003,https://www.pro-football-reference.com/teams/atl/2003.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
113,113,2002,https://www.pro-football-reference.com/teams/atl/2002.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
114,114,2001,https://www.pro-football-reference.com/teams/atl/2001.htm,Georgia Dome,/stadiums/ATL00.htm,Atlanta Falcons," astroturf (1992-2002), fieldturf (2003-2016)"
