,Season,Stadium,Teams,Actual Surface
991,2017,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
992,2016,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
993,2015,Edward Jones Dome,Los Angeles Rams,astroplay
994,2014,Edward Jones Dome,Los Angeles Rams,astroplay
995,2013,Edward Jones Dome,Los Angeles Rams,astroplay
996,2012,Edward Jones Dome,Los Angeles Rams,astroplay
997,2011,Edward Jones Dome,Los Angeles Rams,astroplay
998,2010,Edward Jones Dome,Los Angeles Rams,astroplay
999,2009,Edward Jones Dome,Los Angeles Rams,fieldturf
1000,2008,Edward Jones Dome,Los Angeles Rams,fieldturf
1001,2007,Edward Jones Dome,Los Angeles Rams,fieldturf
1002,2006,Edward Jones Dome,Los Angeles Rams,fieldturf
1003,2005,Edward Jones Dome,Los Angeles Rams,fieldturf
1004,2004,Edward Jones Dome,Los Angeles Rams,astroturf
1005,2003,Edward Jones Dome,Los Angeles Rams,astroturf
1006,2002,Edward Jones Dome,Los Angeles Rams,astroturf
1007,2001,Dome at America's Center,Los Angeles Rams,astroturf
1008,2000,TWA Dome,Los Angeles Rams,astroturf
1009,1999,TWA Dome,Los Angeles Rams,astroturf
1010,1998,TWA Dome,Los Angeles Rams,astroturf
1011,1997,TWA Dome,Los Angeles Rams,astroturf
1012,1996,TWA Dome,Los Angeles Rams,astroturf
1013,1995,TWA Dome,Los Angeles Rams,astroturf
1014,1994,Anaheim Stadium,Los Angeles Rams,grass
1015,1993,Anaheim Stadium,Los Angeles Rams,grass
1016,1992,Anaheim Stadium,Los Angeles Rams,grass
1017,1991,Anaheim Stadium,Los Angeles Rams,grass
1018,1990,Anaheim Stadium,Los Angeles Rams,grass
1019,1989,Anaheim Stadium,Los Angeles Rams,grass
1020,1988,Anaheim Stadium,Los Angeles Rams,grass
1021,1987,Anaheim Stadium,Los Angeles Rams,grass
1022,1986,Anaheim Stadium,Los Angeles Rams,grass
1023,1985,Anaheim Stadium,Los Angeles Rams,grass
1024,1984,Anaheim Stadium,Los Angeles Rams,grass
1025,1983,Anaheim Stadium,Los Angeles Rams,grass
1026,1982,Anaheim Stadium,Los Angeles Rams,grass
1027,1981,Anaheim Stadium,Los Angeles Rams,grass
1028,1980,Anaheim Stadium,Los Angeles Rams,grass
1029,1979,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1030,1978,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1031,1977,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1032,1976,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1033,1975,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1034,1974,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1035,1973,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1036,1972,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1037,1971,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1038,1970,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1039,1969,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1040,1968,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1041,1967,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1042,1966,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1043,1965,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1044,1964,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1045,1963,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1046,1962,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1047,1961,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1048,1960,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1049,1959,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1050,1958,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1051,1957,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1052,1956,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1053,1955,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1054,1954,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1055,1953,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1056,1952,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1057,1951,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1058,1950,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1059,1949,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1060,1948,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1061,1947,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1062,1946,Los Angeles Memorial Coliseum,Los Angeles Rams,grass
1063,1945,League Park,Los Angeles Rams,grass
1064,1944,League Park,Los Angeles Rams,grass
1065,1942,League Park,Los Angeles Rams,grass
1066,1941,Cleveland Municipal Stadium,Los Angeles Rams,grass
1067,1940,Cleveland Municipal Stadium,Los Angeles Rams,grass
1068,1939,Cleveland Municipal Stadium,Los Angeles Rams,grass
1069,1938,Shaw Stadium,Los Angeles Rams,grass
1070,1937,League Park,Los Angeles Rams,grass
1071,2017,Hard Rock Stadium,Miami Dolphins,grass
1072,2016,Hard Rock Stadium,Miami Dolphins,grass
1073,2015,Sun Life Stadium,Miami Dolphins,grass
1074,2014,Sun Life Stadium,Miami Dolphins,grass
1075,2013,Sun Life Stadium,Miami Dolphins,grass
1076,2012,Sun Life Stadium,Miami Dolphins,grass
1077,2011,Sun Life Stadium,Miami Dolphins,grass
1078,2010,Sun Life Stadium,Miami Dolphins,grass
1079,2009,Dolphin Stadium,Miami Dolphins,grass
1080,2008,Dolphin Stadium,Miami Dolphins,grass
1081,2007,Dolphin Stadium,Miami Dolphins,grass
1082,2006,Dolphin Stadium,Miami Dolphins,grass
1083,2005,Dolphin Stadium,Miami Dolphins,grass
1084,2004,Pro Player Stadium,Miami Dolphins,grass
1085,2003,Pro Player Stadium,Miami Dolphins,grass
1086,2002,Pro Player Stadium,Miami Dolphins,grass
1087,2001,Pro Player Stadium,Miami Dolphins,grass
1088,2000,Pro Player Stadium,Miami Dolphins,grass
1089,1999,Pro Player Stadium,Miami Dolphins,grass
1090,1998,Pro Player Stadium,Miami Dolphins,grass
1091,1997,Pro Player Stadium,Miami Dolphins,grass
1092,1996,Pro Player Stadium,Miami Dolphins,grass
1093,1995,Joe Robbie Stadium,Miami Dolphins,grass
1094,1994,Joe Robbie Stadium,Miami Dolphins,grass
1095,1993,Joe Robbie Stadium,Miami Dolphins,grass
1096,1992,Joe Robbie Stadium,Miami Dolphins,grass
1097,1991,Joe Robbie Stadium,Miami Dolphins,grass
1098,1990,Joe Robbie Stadium,Miami Dolphins,grass
1099,1989,Joe Robbie Stadium,Miami Dolphins,grass
1100,1988,Joe Robbie Stadium,Miami Dolphins,grass
1101,1987,Joe Robbie Stadium,Miami Dolphins,grass
1102,1986,Orange Bowl,Miami Dolphins,grass
1103,1985,Orange Bowl,Miami Dolphins,grass
1104,1984,Orange Bowl,Miami Dolphins,grass
1105,1983,Orange Bowl,Miami Dolphins,grass
1106,1982,Orange Bowl,Miami Dolphins,grass
1107,1981,Orange Bowl,Miami Dolphins,grass
1108,1980,Orange Bowl,Miami Dolphins,grass
1109,1979,Orange Bowl,Miami Dolphins,grass
1110,1978,Orange Bowl,Miami Dolphins,grass
1111,1977,Orange Bowl,Miami Dolphins,grass
1112,1976,Orange Bowl,Miami Dolphins,grass
1113,1975,Orange Bowl,Miami Dolphins,polyturf
1114,1974,Orange Bowl,Miami Dolphins,polyturf
1115,1973,Orange Bowl,Miami Dolphins,polyturf
1116,1972,Orange Bowl,Miami Dolphins,polyturf
1117,1971,Orange Bowl,Miami Dolphins,polyturf
1118,1970,Orange Bowl,Miami Dolphins,polyturf
1119,1969,Orange Bowl,Miami Dolphins,grass
1120,1968,Orange Bowl,Miami Dolphins,grass
1121,1967,Orange Bowl,Miami Dolphins,grass
1122,1966,Orange Bowl,Miami Dolphins,grass
1123,2017,U.S. Bank Stadium,Minnesota Vikings,sportturf
1124,2016,U.S. Bank Stadium,Minnesota Vikings,sportturf
1125,2015,TCF Bank Stadium,Minnesota Vikings,fieldturf
1126,2014,TCF Bank Stadium,Minnesota Vikings,fieldturf
1127,2013,Mall of America Field,Minnesota Vikings,sportturf
1128,2012,Mall of America Field,Minnesota Vikings,sportturf
1129,2011,Mall of America Field,Minnesota Vikings,sportturf
1130,2010,Mall of America Field,Minnesota Vikings,sportturf
1131,2009,Hubert H. Humphrey Metrodome,Minnesota Vikings,fieldturf
1132,2008,Hubert H. Humphrey Metrodome,Minnesota Vikings,fieldturf
1133,2007,Hubert H. Humphrey Metrodome,Minnesota Vikings,fieldturf
1134,2006,Hubert H. Humphrey Metrodome,Minnesota Vikings,fieldturf
1135,2005,Hubert H. Humphrey Metrodome,Minnesota Vikings,fieldturf
1136,2004,Hubert H. Humphrey Metrodome,Minnesota Vikings,fieldturf
1137,2003,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1138,2002,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1139,2001,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1140,2000,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1141,1999,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1142,1998,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1143,1997,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1144,1996,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1145,1995,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1146,1994,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1147,1993,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1148,1992,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1149,1991,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1150,1990,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1151,1989,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1152,1988,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1153,1987,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1154,1986,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1155,1985,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1156,1984,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1157,1983,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1158,1982,Hubert H. Humphrey Metrodome,Minnesota Vikings,astroturf
1159,1981,Metropolitan Stadium,Minnesota Vikings,grass
1160,1980,Metropolitan Stadium,Minnesota Vikings,grass
1161,1979,Metropolitan Stadium,Minnesota Vikings,grass
1162,1978,Metropolitan Stadium,Minnesota Vikings,grass
1163,1977,Metropolitan Stadium,Minnesota Vikings,grass
1164,1976,Metropolitan Stadium,Minnesota Vikings,grass
1165,1975,Metropolitan Stadium,Minnesota Vikings,grass
1166,1974,Metropolitan Stadium,Minnesota Vikings,grass
1167,1973,Metropolitan Stadium,Minnesota Vikings,grass
1168,1972,Metropolitan Stadium,Minnesota Vikings,grass
1169,1971,Metropolitan Stadium,Minnesota Vikings,grass
1170,1970,Metropolitan Stadium,Minnesota Vikings,grass
1171,1969,Metropolitan Stadium,Minnesota Vikings,grass
1172,1968,Metropolitan Stadium,Minnesota Vikings,grass
1173,1967,Metropolitan Stadium,Minnesota Vikings,grass
1174,1966,Metropolitan Stadium,Minnesota Vikings,grass
1175,1965,Metropolitan Stadium,Minnesota Vikings,grass
1176,1964,Metropolitan Stadium,Minnesota Vikings,grass
1177,1963,Metropolitan Stadium,Minnesota Vikings,grass
1178,1962,Metropolitan Stadium,Minnesota Vikings,grass
1179,1961,Metropolitan Stadium,Minnesota Vikings,grass
1180,2017,Gillette Stadium,New England Patriots,fieldturf
1181,2016,Gillette Stadium,New England Patriots,fieldturf
1182,2015,Gillette Stadium,New England Patriots,fieldturf
1183,2014,Gillette Stadium,New England Patriots,fieldturf
1184,2013,Gillette Stadium,New England Patriots,fieldturf
1185,2012,Gillette Stadium,New England Patriots,fieldturf
1186,2011,Gillette Stadium,New England Patriots,fieldturf
1187,2010,Gillette Stadium,New England Patriots,fieldturf
1188,2009,Gillette Stadium,New England Patriots,fieldturf
1189,2008,Gillette Stadium,New England Patriots,fieldturf
1190,2007,Gillette Stadium,New England Patriots,fieldturf
1191,2006,Gillette Stadium,New England Patriots,fieldturf
1192,2005,Gillette Stadium,New England Patriots,grass
1193,2004,Gillette Stadium,New England Patriots,grass
1194,2003,Gillette Stadium,New England Patriots,grass
1195,2002,Gillette Stadium,New England Patriots,grass
1196,2001,Foxboro Stadium,New England Patriots,grass
1197,2000,Foxboro Stadium,New England Patriots,grass
1198,1999,Foxboro Stadium,New England Patriots,grass
1199,1998,Foxboro Stadium,New England Patriots,grass
1200,1997,Foxboro Stadium,New England Patriots,grass
1201,1996,Foxboro Stadium,New England Patriots,grass
1202,1995,Foxboro Stadium,New England Patriots,grass
1203,1994,Foxboro Stadium,New England Patriots,grass
1204,1993,Foxboro Stadium,New England Patriots,grass
1205,1992,Foxboro Stadium,New England Patriots,grass
1206,1991,Foxboro Stadium,New England Patriots,grass
1207,1990,Foxboro Stadium,New England Patriots,astroturf
1208,1989,Foxboro Stadium,New England Patriots,astroturf
1209,1988,Sullivan Stadium,New England Patriots,astroturf
1210,1987,Sullivan Stadium,New England Patriots,astroturf
1211,1986,Sullivan Stadium,New England Patriots,astroturf
1212,1985,Sullivan Stadium,New England Patriots,astroturf
1213,1984,Sullivan Stadium,New England Patriots,astroturf
1214,1983,Sullivan Stadium,New England Patriots,astroturf
1215,1982,Schaefer Stadium,New England Patriots,astroturf
1216,1981,Schaefer Stadium,New England Patriots,astroturf
1217,1980,Schaefer Stadium,New England Patriots,astroturf
1218,1979,Schaefer Stadium,New England Patriots,astroturf
1219,1978,Schaefer Stadium,New England Patriots,astroturf
1220,1977,Schaefer Stadium,New England Patriots,astroturf
1221,1976,Schaefer Stadium,New England Patriots,astroturf
1222,1975,Schaefer Stadium,New England Patriots,astroturf
1223,1974,Schaefer Stadium,New England Patriots,astroturf
1224,1973,Schaefer Stadium,New England Patriots,astroturf
1225,1972,Schaefer Stadium,New England Patriots,astroturf
1226,1971,Schaefer Stadium,New England Patriots,astroturf
1227,1970,Harvard Stadium,New England Patriots,grass
1228,1969,Alumni Stadium,New England Patriots,grass
1229,1968,Fenway Park,New England Patriots,grass
1230,1967,Fenway Park,New England Patriots,grass
1231,1966,Fenway Park,New England Patriots,grass
1232,1965,Fenway Park,New England Patriots,grass
1233,1964,Fenway Park,New England Patriots,grass
1234,1963,Fenway Park,New England Patriots,grass
1235,1962,Nickerson Field,New England Patriots,grass
1236,1961,Nickerson Field,New England Patriots,grass
1237,1960,Nickerson Field,New England Patriots,grass
1238,2017,Mercedes-Benz Superdome,New Orleans Saints,sportturf
1239,2016,Mercedes-Benz Superdome,New Orleans Saints,sportturf
1240,2015,Mercedes-Benz Superdome,New Orleans Saints,sportturf
1241,2014,Mercedes-Benz Superdome,New Orleans Saints,sportturf
1242,2013,Mercedes-Benz Superdome,New Orleans Saints,sportturf
1243,2012,Mercedes-Benz Superdome,New Orleans Saints,sportturf
1244,2011,Mercedes-Benz Superdome,New Orleans Saints,sportturf
1245,2010,Louisiana Superdome,New Orleans Saints,sportturf
1246,2009,Louisiana Superdome,New Orleans Saints,fieldturf
1247,2008,Louisiana Superdome,New Orleans Saints,fieldturf
1248,2007,Louisiana Superdome,New Orleans Saints,fieldturf
1249,2006,Louisiana Superdome,New Orleans Saints,fieldturf
1250,2005,Tiger Stadium (LSU),New Orleans Saints,grass
1251,2004,Louisiana Superdome,New Orleans Saints,fieldturf
1252,2003,Louisiana Superdome,New Orleans Saints,fieldturf
1253,2002,Louisiana Superdome,New Orleans Saints,astroturf
1254,2001,Louisiana Superdome,New Orleans Saints,astroturf
1255,2000,Louisiana Superdome,New Orleans Saints,astroturf
1256,1999,Louisiana Superdome,New Orleans Saints,astroturf
1257,1998,Louisiana Superdome,New Orleans Saints,astroturf
1258,1997,Louisiana Superdome,New Orleans Saints,astroturf
1259,1996,Louisiana Superdome,New Orleans Saints,astroturf
1260,1995,Louisiana Superdome,New Orleans Saints,astroturf
1261,1994,Louisiana Superdome,New Orleans Saints,astroturf
1262,1993,Louisiana Superdome,New Orleans Saints,astroturf
1263,1992,Louisiana Superdome,New Orleans Saints,astroturf
1264,1991,Louisiana Superdome,New Orleans Saints,astroturf
1265,1990,Louisiana Superdome,New Orleans Saints,astroturf
1266,1989,Louisiana Superdome,New Orleans Saints,astroturf
1267,1988,Louisiana Superdome,New Orleans Saints,astroturf
1268,1987,Louisiana Superdome,New Orleans Saints,astroturf
1269,1986,Louisiana Superdome,New Orleans Saints,astroturf
1270,1985,Louisiana Superdome,New Orleans Saints,astroturf
1271,1984,Louisiana Superdome,New Orleans Saints,astroturf
1272,1983,Louisiana Superdome,New Orleans Saints,astroturf
1273,1982,Louisiana Superdome,New Orleans Saints,astroturf
1274,1981,Louisiana Superdome,New Orleans Saints,astroturf
1275,1980,Louisiana Superdome,New Orleans Saints,astroturf
1276,1979,Louisiana Superdome,New Orleans Saints,astroturf
1277,1978,Louisiana Superdome,New Orleans Saints,astroturf
1278,1977,Louisiana Superdome,New Orleans Saints,astroturf
1279,1976,Louisiana Superdome,New Orleans Saints,astroturf
1280,1975,Louisiana Superdome,New Orleans Saints,astroturf
1281,1974,Tulane Stadium,New Orleans Saints,astroturf
1282,1973,Tulane Stadium,New Orleans Saints,astroturf
1283,1972,Tulane Stadium,New Orleans Saints,astroturf
1284,1971,Tulane Stadium,New Orleans Saints,astroturf
1285,1970,Tulane Stadium,New Orleans Saints,grass
1286,1969,Tulane Stadium,New Orleans Saints,grass
1287,1968,Tulane Stadium,New Orleans Saints,grass
1288,1967,Tulane Stadium,New Orleans Saints,grass
1289,2017,MetLife Stadium,New York Giants,fieldturf
1290,2016,MetLife Stadium,New York Giants,fieldturf
1291,2015,MetLife Stadium,New York Giants,fieldturf
1292,2014,MetLife Stadium,New York Giants,fieldturf
1293,2013,MetLife Stadium,New York Giants,fieldturf
1294,2012,MetLife Stadium,New York Giants,fieldturf
1295,2011,MetLife Stadium,New York Giants,fieldturf
1296,2010,New Meadowlands Stadium,New York Giants,fieldturf
1297,2009,Giants Stadium,New York Giants,fieldturf
1298,2008,Giants Stadium,New York Giants,fieldturf
1299,2007,Giants Stadium,New York Giants,fieldturf
1300,2006,Giants Stadium,New York Giants,fieldturf
1301,2005,Giants Stadium,New York Giants,fieldturf
1302,2004,Giants Stadium,New York Giants,fieldturf
1303,2003,Giants Stadium,New York Giants,fieldturf
1304,2002,Giants Stadium,New York Giants,grass
1305,2001,Giants Stadium,New York Giants,grass
1306,2000,Giants Stadium,New York Giants,grass
1307,1999,Giants Stadium,New York Giants,astroturf
1308,1998,Giants Stadium,New York Giants,astroturf
1309,1997,Giants Stadium,New York Giants,astroturf
1310,1996,Giants Stadium,New York Giants,astroturf
1311,1995,Giants Stadium,New York Giants,astroturf
1312,1994,Giants Stadium,New York Giants,astroturf
1313,1993,Giants Stadium,New York Giants,astroturf
1314,1992,Giants Stadium,New York Giants,astroturf
1315,1991,Giants Stadium,New York Giants,astroturf
1316,1990,Giants Stadium,New York Giants,astroturf
1317,1989,Giants Stadium,New York Giants,astroturf
1318,1988,Giants Stadium,New York Giants,astroturf
1319,1987,Giants Stadium,New York Giants,astroturf
1320,1986,Giants Stadium,New York Giants,astroturf
1321,1985,Giants Stadium,New York Giants,astroturf
1322,1984,Giants Stadium,New York Giants,astroturf
1323,1983,Giants Stadium,New York Giants,astroturf
1324,1982,Giants Stadium,New York Giants,astroturf
1325,1981,Giants Stadium,New York Giants,astroturf
1326,1980,Giants Stadium,New York Giants,astroturf
1327,1979,Giants Stadium,New York Giants,astroturf
1328,1978,Giants Stadium,New York Giants,astroturf
1329,1977,Giants Stadium,New York Giants,astroturf
1330,1976,Giants Stadium,New York Giants,astroturf
1331,1975,Shea Stadium,New York Giants,grass
1332,1974,Yale Bowl,New York Giants,grass
1333,1973,Yankee Stadium,New York Giants,grass
1334,1972,Yankee Stadium,New York Giants,grass
1335,1971,Yankee Stadium,New York Giants,grass
1336,1970,Yankee Stadium,New York Giants,grass
1337,1969,Yankee Stadium,New York Giants,grass
1338,1968,Yankee Stadium,New York Giants,grass
1339,1967,Yankee Stadium,New York Giants,grass
1340,1966,Yankee Stadium,New York Giants,grass
1341,1965,Yankee Stadium,New York Giants,grass
1342,1964,Yankee Stadium,New York Giants,grass
1343,1963,Yankee Stadium,New York Giants,grass
1344,1962,Yankee Stadium,New York Giants,grass
1345,1961,Yankee Stadium,New York Giants,grass
1346,1960,Yankee Stadium,New York Giants,grass
1347,1959,Yankee Stadium,New York Giants,grass
1348,1958,Yankee Stadium,New York Giants,grass
1349,1957,Yankee Stadium,New York Giants,grass
1350,1956,Yankee Stadium,New York Giants,grass
1351,1955,Polo Grounds,New York Giants,grass
1352,1954,Polo Grounds,New York Giants,grass
1353,1953,Polo Grounds,New York Giants,grass
1354,1952,Polo Grounds,New York Giants,grass
1355,1951,Polo Grounds,New York Giants,grass
1356,1950,Polo Grounds,New York Giants,grass
1357,1949,Polo Grounds,New York Giants,grass
1358,1948,Polo Grounds,New York Giants,grass
1359,1947,Polo Grounds,New York Giants,grass
1360,1946,Polo Grounds,New York Giants,grass
1361,1945,Polo Grounds,New York Giants,grass
1362,1944,Polo Grounds,New York Giants,grass
1363,1943,Polo Grounds,New York Giants,grass
1364,1942,Polo Grounds,New York Giants,grass
1365,1941,Polo Grounds,New York Giants,grass
1366,1940,Polo Grounds,New York Giants,grass
1367,1939,Polo Grounds,New York Giants,grass
1368,1938,Polo Grounds,New York Giants,grass
1369,1937,Polo Grounds,New York Giants,grass
1370,1936,Polo Grounds,New York Giants,grass
1371,1935,Polo Grounds,New York Giants,grass
1372,1934,Polo Grounds,New York Giants,grass
1373,1933,Polo Grounds,New York Giants,grass
1374,1932,Polo Grounds,New York Giants,grass
1375,1931,Polo Grounds,New York Giants,grass
1376,1930,Polo Grounds,New York Giants,grass
1377,1929,Polo Grounds,New York Giants,grass
1378,1928,Polo Grounds,New York Giants,grass
1379,1927,Polo Grounds,New York Giants,grass
1380,1926,Polo Grounds,New York Giants,grass
1381,1925,Polo Grounds,New York Giants,grass
1382,2017,MetLife Stadium,New York Jets,fieldturf
1383,2016,MetLife Stadium,New York Jets,fieldturf
1384,2015,MetLife Stadium,New York Jets,fieldturf
1385,2014,MetLife Stadium,New York Jets,fieldturf
1386,2013,MetLife Stadium,New York Jets,fieldturf
1387,2012,MetLife Stadium,New York Jets,fieldturf
1388,2011,MetLife Stadium,New York Jets,fieldturf
1389,2010,New Meadowlands Stadium,New York Jets,fieldturf
1390,2009,Giants Stadium,New York Jets,fieldturf
1391,2008,Giants Stadium,New York Jets,fieldturf
1392,2007,Giants Stadium,New York Jets,fieldturf
1393,2006,Giants Stadium,New York Jets,fieldturf
1394,2005,Giants Stadium,New York Jets,fieldturf
1395,2004,Giants Stadium,New York Jets,fieldturf
1396,2003,Giants Stadium,New York Jets,fieldturf
1397,2002,Giants Stadium,New York Jets,grass
1398,2001,Giants Stadium,New York Jets,grass
1399,2000,Giants Stadium,New York Jets,grass
1400,1999,Giants Stadium,New York Jets,astroturf
1401,1998,Giants Stadium,New York Jets,astroturf
1402,1997,Giants Stadium,New York Jets,astroturf
1403,1996,Giants Stadium,New York Jets,astroturf
1404,1995,Giants Stadium,New York Jets,astroturf
1405,1994,Giants Stadium,New York Jets,astroturf
1406,1993,Giants Stadium,New York Jets,astroturf
1407,1992,Giants Stadium,New York Jets,astroturf
1408,1991,Giants Stadium,New York Jets,astroturf
1409,1990,Giants Stadium,New York Jets,astroturf
1410,1989,Giants Stadium,New York Jets,astroturf
1411,1988,Giants Stadium,New York Jets,astroturf
1412,1987,Giants Stadium,New York Jets,astroturf
1413,1986,Giants Stadium,New York Jets,astroturf
1414,1985,Giants Stadium,New York Jets,astroturf
1415,1984,Giants Stadium,New York Jets,astroturf
1416,1983,Shea Stadium,New York Jets,grass
1417,1982,Shea Stadium,New York Jets,grass
1418,1981,Shea Stadium,New York Jets,grass
1419,1980,Shea Stadium,New York Jets,grass
1420,1979,Shea Stadium,New York Jets,grass
1421,1978,Shea Stadium,New York Jets,grass
1422,1977,Shea Stadium,New York Jets,grass
1423,1976,Shea Stadium,New York Jets,grass
1424,1975,Shea Stadium,New York Jets,grass
1425,1974,Shea Stadium,New York Jets,grass
1426,1973,Shea Stadium,New York Jets,grass
1427,1972,Shea Stadium,New York Jets,grass
1428,1971,Shea Stadium,New York Jets,grass
1429,1970,Shea Stadium,New York Jets,grass
1430,1969,Shea Stadium,New York Jets,grass
1431,1968,Shea Stadium,New York Jets,grass
1432,1967,Shea Stadium,New York Jets,grass
1433,1966,Shea Stadium,New York Jets,grass
1434,1965,Shea Stadium,New York Jets,grass
1435,1964,Shea Stadium,New York Jets,grass
1436,1963,Polo Grounds,New York Jets,grass
1437,1962,Polo Grounds,New York Jets,grass
1438,1961,Polo Grounds,New York Jets,grass
1439,1960,Polo Grounds,New York Jets,grass
1440,2017,Oakland Coliseum,Oakland Raiders,grass
1441,2016,Oakland Coliseum,Oakland Raiders,grass
1442,2015,O.co Coliseum,Oakland Raiders,grass
1443,2014,O.co Coliseum,Oakland Raiders,grass
1444,2013,O.co Coliseum,Oakland Raiders,grass
1445,2012,O.co Coliseum,Oakland Raiders,grass
1446,2011,O.co Coliseum,Oakland Raiders,grass
1447,2010,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1448,2009,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1449,2008,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1450,2007,McAfee Coliseum,Oakland Raiders,grass
1451,2006,McAfee Coliseum,Oakland Raiders,grass
1452,2005,McAfee Coliseum,Oakland Raiders,grass
1453,2004,McAfee Coliseum,Oakland Raiders,grass
1454,2003,Network Associates Coliseum,Oakland Raiders,grass
1455,2002,Network Associates Coliseum,Oakland Raiders,grass
1456,2001,Network Associates Coliseum,Oakland Raiders,grass
1457,2000,Network Associates Coliseum,Oakland Raiders,grass
1458,1999,Network Associates Coliseum,Oakland Raiders,grass
1459,1998,Network Associates Coliseum,Oakland Raiders,grass
1460,1997,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1461,1996,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1462,1995,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1463,1994,Los Angeles Memorial Coliseum,Oakland Raiders,grass
1464,1993,Los Angeles Memorial Coliseum,Oakland Raiders,grass
1465,1992,Los Angeles Memorial Coliseum,Oakland Raiders,grass
1466,1991,Los Angeles Memorial Coliseum,Oakland Raiders,grass
1467,1990,Los Angeles Memorial Coliseum,Oakland Raiders,grass
1468,1989,Los Angeles Memorial Coliseum,Oakland Raiders,grass
1469,1988,Los Angeles Memorial Coliseum,Oakland Raiders,grass
1470,1987,Los Angeles Memorial Coliseum,Oakland Raiders,grass
1471,1986,Los Angeles Memorial Coliseum,Oakland Raiders,grass
1472,1985,Los Angeles Memorial Coliseum,Oakland Raiders,grass
1473,1984,Los Angeles Memorial Coliseum,Oakland Raiders,grass
1474,1983,Los Angeles Memorial Coliseum,Oakland Raiders,grass
1475,1982,Los Angeles Memorial Coliseum,Oakland Raiders,grass
1476,1981,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1477,1980,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1478,1979,Oakland-Alameda County Coliseum,Oakland Raiders,grass
1479,1978,Oakland-Alameda County Coliseum,Oakland Raiders,grass
