,Season,Stadium,Teams,Actual Surface
364,2004,Paul Brown Stadium,Cincinnati Bengals,fieldturf
365,2003,Paul Brown Stadium,Cincinnati Bengals,grass
366,2002,Paul Brown Stadium,Cincinnati Bengals,grass
367,2001,Paul Brown Stadium,Cincinnati Bengals,grass
368,2000,Paul Brown Stadium,Cincinnati Bengals,grass
369,1999,Cinergy Field,Cincinnati Bengals,astroturf
370,1998,Cinergy Field,Cincinnati Bengals,astroturf
371,1997,Cinergy Field,Cincinnati Bengals,astroturf
372,1996,Cinergy Field,Cincinnati Bengals,astroturf
373,1995,Riverfront Stadium,Cincinnati Bengals,astroturf
374,1994,Riverfront Stadium,Cincinnati Bengals,astroturf
375,1993,Riverfront Stadium,Cincinnati Bengals,astroturf
376,1992,Riverfront Stadium,Cincinnati Bengals,astroturf
377,1991,Riverfront Stadium,Cincinnati Bengals,astroturf
378,1990,Riverfront Stadium,Cincinnati Bengals,astroturf
379,1989,Riverfront Stadium,Cincinnati Bengals,astroturf
380,1988,Riverfront Stadium,Cincinnati Bengals,astroturf
381,1987,Riverfront Stadium,Cincinnati Bengals,astroturf
382,1986,Riverfront Stadium,Cincinnati Bengals,astroturf
383,1985,Riverfront Stadium,Cincinnati Bengals,astroturf
384,1984,Riverfront Stadium,Cincinnati Bengals,astroturf
385,1983,Riverfront Stadium,Cincinnati Bengals,astroturf
386,1982,Riverfront Stadium,Cincinnati Bengals,astroturf
387,1981,Riverfront Stadium,Cincinnati Bengals,astroturf
388,1980,Riverfront Stadium,Cincinnati Bengals,astroturf
389,1979,Riverfront Stadium,Cincinnati Bengals,astroturf
390,1978,Riverfront Stadium,Cincinnati Bengals,astroturf
391,1977,Riverfront Stadium,Cincinnati Bengals,astroturf
392,1976,Riverfront Stadium,Cincinnati Bengals,astroturf
393,1975,Riverfront Stadium,Cincinnati Bengals,astroturf
394,1974,Riverfront Stadium,Cincinnati Bengals,astroturf
395,1973,Riverfront Stadium,Cincinnati Bengals,astroturf
396,1972,Riverfront Stadium,Cincinnati Bengals,astroturf
397,1971,Riverfront Stadium,Cincinnati Bengals,astroturf
398,1970,Riverfront Stadium,Cincinnati Bengals,astroturf
399,1969,Nippert Stadium,Cincinnati Bengals,grass
400,1968,Nippert Stadium,Cincinnati Bengals,grass
401,2017,FirstEnergy Stadium,Cleveland Browns,grass
402,2016,FirstEnergy Stadium,Cleveland Browns,grass
403,2015,FirstEnergy Stadium,Cleveland Browns,grass
404,2014,FirstEnergy Stadium,Cleveland Browns,grass
405,2013,FirstEnergy Stadium,Cleveland Browns,grass
406,2012,Cleveland Browns Stadium,Cleveland Browns,grass
407,2011,Cleveland Browns Stadium,Cleveland Browns,grass
408,2010,Cleveland Browns Stadium,Cleveland Browns,grass
409,2009,Cleveland Browns Stadium,Cleveland Browns,grass
410,2008,Cleveland Browns Stadium,Cleveland Browns,grass
411,2007,Cleveland Browns Stadium,Cleveland Browns,grass
